condition,theme_a,theme_b,cosine,human_similarity,rated
nodata,Urgency driven by the fatal progression of ALS,Willingness to accept higher treatment risks,0.61166987321755,,False
nodata,Urgency driven by the fatal progression of ALS,Patient experience as essential evidence,0.492392601763228,,False
nodata,Urgency driven by the fatal progression of ALS,Meaningful outcomes extend beyond survival,0.46876729796785216,,False
nodata,Urgency driven by the fatal progression of ALS,Support for flexible and innovative trial designs,0.5169012447672813,,False
nodata,Urgency driven by the fatal progression of ALS,Clinical trial participation is burdensome and difficult,0.515100906660523,,False
nodata,Urgency driven by the fatal progression of ALS,Perception that current regulatory processes are too slow,0.7165516296517338,,False
nodata,Urgency driven by the fatal progression of ALS,Support for earlier access to investigational therapies,0.5686755471456183,,False
nodata,Urgency driven by the fatal progression of ALS,Recognition of ALS heterogeneity,0.5739250139245018,,False
nodata,Urgency driven by the fatal progression of ALS,Hope tied to emerging scientific progress,0.4768346135639154,,False
nodata,Urgency driven by the fatal progression of ALS,Caregiver burden and family impact,0.505980886937631,,False
nodata,Urgency driven by the fatal progression of ALS,Use of personal stories to humanize policy decisions,0.4962434716748751,,False
nodata,Urgency driven by the fatal progression of ALS,Desire for meaningful patient involvement in policymaking,0.4781510316998798,,False
nodata,Urgency driven by the fatal progression of ALS,Need for regulatory flexibility in the context of unmet medical need,0.5636879286250112,,False
nodata,Urgency driven by the fatal progression of ALS,Concerns about how treatment benefit is measured,0.4370553753273874,,False
nodata,Urgency driven by the fatal progression of ALS,Tension between rapid access and evidentiary certainty,0.5867760819347887,2.0,True
nodata,Urgency driven by the fatal progression of ALS,Concern that promising therapies face avoidable development obstacles,0.5575031532000456,,False
nodata,Urgency driven by the fatal progression of ALS,Patients as informed partners in research and regulation,0.5192115787391998,,False
nodata,Urgency driven by the fatal progression of ALS,Drug-development policy as a moral responsibility,0.5891150038918319,,False
nodata,Urgency driven by the fatal progression of ALS,"Grief, loss, and witnessing disease progression",0.6857570202398742,,False
nodata,Willingness to accept higher treatment risks,Patient experience as essential evidence,0.5424019133556025,,False
nodata,Willingness to accept higher treatment risks,Meaningful outcomes extend beyond survival,0.5000455968320342,,False
nodata,Willingness to accept higher treatment risks,Support for flexible and innovative trial designs,0.5959253683969699,3.0,True
nodata,Willingness to accept higher treatment risks,Clinical trial participation is burdensome and difficult,0.5478139848206284,,False
nodata,Willingness to accept higher treatment risks,Perception that current regulatory processes are too slow,0.5644389262765108,,False
nodata,Willingness to accept higher treatment risks,Support for earlier access to investigational therapies,0.5866107198658687,,False
nodata,Willingness to accept higher treatment risks,Recognition of ALS heterogeneity,0.5927937674671704,,False
nodata,Willingness to accept higher treatment risks,Hope tied to emerging scientific progress,0.46887104044325595,,False
nodata,Willingness to accept higher treatment risks,Caregiver burden and family impact,0.44967343716853525,,False
nodata,Willingness to accept higher treatment risks,Use of personal stories to humanize policy decisions,0.48319241967465554,,False
nodata,Willingness to accept higher treatment risks,Desire for meaningful patient involvement in policymaking,0.5133758817416618,,False
nodata,Willingness to accept higher treatment risks,Need for regulatory flexibility in the context of unmet medical need,0.5895677262886359,,False
nodata,Willingness to accept higher treatment risks,Concerns about how treatment benefit is measured,0.5135819554075629,,False
nodata,Willingness to accept higher treatment risks,Tension between rapid access and evidentiary certainty,0.4966825930473399,2.0,True
nodata,Willingness to accept higher treatment risks,Concern that promising therapies face avoidable development obstacles,0.527588773179199,,False
nodata,Willingness to accept higher treatment risks,Patients as informed partners in research and regulation,0.6726921609758552,,False
nodata,Willingness to accept higher treatment risks,Drug-development policy as a moral responsibility,0.5967653734699429,,False
nodata,Willingness to accept higher treatment risks,"Grief, loss, and witnessing disease progression",0.5687952706876874,,False
nodata,Patient experience as essential evidence,Meaningful outcomes extend beyond survival,0.5895234245648934,,False
nodata,Patient experience as essential evidence,Support for flexible and innovative trial designs,0.5417237091345636,,False
nodata,Patient experience as essential evidence,Clinical trial participation is burdensome and difficult,0.4865854926280706,,False
nodata,Patient experience as essential evidence,Perception that current regulatory processes are too slow,0.48651462872945817,,False
nodata,Patient experience as essential evidence,Support for earlier access to investigational therapies,0.5657368454305547,,False
nodata,Patient experience as essential evidence,Recognition of ALS heterogeneity,0.5278570368087271,,False
nodata,Patient experience as essential evidence,Hope tied to emerging scientific progress,0.46568213016836374,,False
nodata,Patient experience as essential evidence,Caregiver burden and family impact,0.42099763399929446,,False
nodata,Patient experience as essential evidence,Use of personal stories to humanize policy decisions,0.6897424020730917,,False
nodata,Patient experience as essential evidence,Desire for meaningful patient involvement in policymaking,0.7211820140989359,4.0,True
nodata,Patient experience as essential evidence,Need for regulatory flexibility in the context of unmet medical need,0.5569115144211675,,False
nodata,Patient experience as essential evidence,Concerns about how treatment benefit is measured,0.6496113795638868,,False
