condition,theme,role,interp_level,source,cos_quote_theme,cos_quote_source,mean_cos_corpus,max_cos_corpus,nearest_comment,nearest_is_source
loweffort,Urgency Due to the Rapidly Fatal Nature of ALS,supporting,1,,0.6319993903243006,,0.5409070259565874,0.65122257351107,D6,
loweffort,Urgency Due to the Rapidly Fatal Nature of ALS,supporting,1,,0.5876102059113879,,0.4883792697459971,0.5812813463988962,D3,
loweffort,Urgency Due to the Rapidly Fatal Nature of ALS,supporting,1,,0.16854208863388673,,0.2048449064769018,0.3461289685360945,D1,
loweffort,Urgency Due to the Rapidly Fatal Nature of ALS,supporting,1,,0.17944313848838955,,0.23008509420963996,0.31423712330349934,D14,
loweffort,Expanded Access to Experimental Treatments,supporting,1,,0.4797718511498893,,0.3409395108737838,0.4387149990907906,D3,
loweffort,Expanded Access to Experimental Treatments,supporting,1,,0.1972927338237033,,0.22492669934428627,0.2742406035181932,D6,
loweffort,Expanded Access to Experimental Treatments,supporting,1,,0.3145480534202743,,0.19945844463272644,0.29503672279320353,D9,
loweffort,Expanded Access to Experimental Treatments,supporting,1,,0.22617560324460184,,0.30690846726588594,0.4189212027348551,D16,
loweffort,Opposition to Placebo-Controlled Trials,supporting,1,,0.6435394168280923,,0.3707547279481097,0.47327040084371186,D13,
loweffort,Opposition to Placebo-Controlled Trials,supporting,1,,0.399148915404976,,0.2045068055556472,0.3314483176245374,D1,
loweffort,Opposition to Placebo-Controlled Trials,supporting,1,,0.4303017120423566,,0.369404397375977,0.47203311295613076,D3,
loweffort,Demand for Innovative Clinical Trial Designs,supporting,2,,0.6741470560913728,,0.42714585457606286,0.5866878736514775,D4,
loweffort,Demand for Innovative Clinical Trial Designs,supporting,2,,0.5845330744686034,,0.35504809047579566,0.5286203204313876,D1,
loweffort,Demand for Innovative Clinical Trial Designs,supporting,2,,0.3447614556447479,,0.2656914288087594,0.4722772858412668,D18,
loweffort,Broader Clinical Trial Eligibility,supporting,1,,0.5653925287155582,,0.2922036382512376,0.44667474220479614,D2,
loweffort,Broader Clinical Trial Eligibility,supporting,1,,0.5081084772087265,,0.43246919472319956,0.5005471003761321,D5,
loweffort,Broader Clinical Trial Eligibility,supporting,1,,0.42995625574128105,,0.552914690889722,0.6612199890432947,D6,
loweffort,Recognition of ALS Heterogeneity and Personalized Medicine,supporting,2,,0.5161727898156353,,0.3989955170142199,0.4929439123011637,D6,
loweffort,Recognition of ALS Heterogeneity and Personalized Medicine,supporting,2,,0.517452392463627,,0.3555964504817356,0.43536928330325,D18,
loweffort,Recognition of ALS Heterogeneity and Personalized Medicine,supporting,2,,0.3764687957233543,,0.30997760217563286,0.45221795758543903,D20,
loweffort,Use of Technology and Remote Data Collection,supporting,1,,0.39990528340581866,,0.14531718005349964,0.37907896985524614,D2,
loweffort,Use of Technology and Remote Data Collection,supporting,1,,0.4517061996441107,,0.09071152180212846,0.21399332419350273,D2,
loweffort,Use of Technology and Remote Data Collection,supporting,1,,0.3236349798916808,,0.16854201489076104,0.2986575070794027,D2,
loweffort,"Decentralized, Mobile, and Satellite Trial Sites",supporting,1,,0.3900730765438143,,0.1307388104619159,0.3017594464592755,D2,
loweffort,"Decentralized, Mobile, and Satellite Trial Sites",supporting,1,,0.6044524429656438,,0.2513252343372954,0.47301549759022665,D20,
